Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
Farm Tenure	5%	25%	50%	75%	95%		
Owner occupied	-8	-1	1	2	6		
Mixed - mainly owner occupied	-3	-1	1	3	7		
Mixed - mainly tenanted	-10	-2	2	6	13		
Tenanted	-40	-10	-1	9	23		
Distribution of ROCE by farm tenure	Distribution of ROCE by farm tenure	Distribution of ROCE by farm tenure	Distribution of ROCE by farm tenure	Distribution of ROCE by farm tenure	Distribution of ROCE by farm tenure		
	Percentage of farm businesses						
	ROCE (FBI) (%) 						
Farm Tenure	Negative	0-<2.5%	2.5%-<5%	5%-<10%	10%+		
Owner occupied	41	36	18	4	2		
Mixed - mainly owner occupied	34	33	22	10	1		
Mixed - mainly tenanted	34	20	19	18	9		
Tenanted	55	5	6	10	24		
Return on Capital Employed (Net Farm Income based)	Return on Capital Employed (Net Farm Income based)	Return on Capital Employed (Net Farm Income based)	Return on Capital Employed (Net Farm Income based)	Return on Capital Employed (Net Farm Income based)	Return on Capital Employed (Net Farm Income based)		
Average ROCE and median ROCE by farm type	Average ROCE and median ROCE by farm type	Average ROCE and median ROCE by farm type	Average ROCE and median ROCE by farm type				
Farm Type	Average ROCE (NFI)(%)	95% Confidence Interval (%) (±)	Median ROCE (NFI) (%)				
Dairy	4	1	2				
LFA Grazing Livestock	-4	1	-5				
Lowland Grazing Livestock	-4	2	-8				
Cereals	12	2	10				
General cropping	12	2	9				
Pigs & Poultry	12	9	2				
Mixed	3	2	-3				
Horticulture	8	5	-10				
Percentile values of ROCE by farm type	Percentile values of ROCE by farm type	Percentile values of ROCE by farm type	Percentile values of ROCE by farm type	Percentile values of ROCE by farm type	Percentile values of ROCE by farm type		
	Percentile values of ROCE (NFI) (%)						
Farm Type	5%	25%	50%	75%	95%		
Dairy	-24	-6	2	9	21		
LFA Grazing Livestock	-28	-13	-5	2	9		
Lowland Grazing Livestock	-35	-15	-8	0	15		
Cereals	-10	2	10	18	35		
General cropping	-19	-1	9	18	34		
Pigs & Poultry	-74	-22	2	16	65		
Mixed	-37	-11	-3	8	26		
Horticulture	-184	-47	-10	11	38		
